readline, X
rl_clear_history, ?
rl_on_new_line, ?
rl_replace_line, ?
rl_redisplay, ?
add_history, ? 
access, X
fork, X
wait, X
waitpid, X
wait3, X
wait4, X
signal, X
sigaction, X
sigemptyset, X
sigaddset, X
kill, X
exit, X
getcwd, X
chdir, X
stat, X
lstat, X
fstat, X
unlink, X
execve, X
dup, X
dup2, X
pipe, X
opendir, X
readdir, X
closedir, X
strerror, X
perror, X
isatty, X
ttyname, X
ttyslot, X
ioctl, X
getenv, X
tcsetattr, X
tcgetattr, X
tgetent, X?
tgetflag, X
tgetnum, X
tgetstr, X
tgoto, X
tputs X
